Product Name,Specification,Price,Detailed Features
ASUS RT-AX3000 (AX3000) Dual-Band WiFi 6 Extendable Router,1x Gigabit WAN Port - 4x Gigabit LAN Ports,249,"Get Your Home Ready for WiFi 6 (802.11ax)

The growing number of connected personal and IoT devices has led to an overall increase in network density that is pushing the limits of the current Wi-Fi standard. The latest 802.11ax standard provides future-proof technologies, higher network efficiency, faster Wi-Fi speeds, greater coverage and improved battery life for connected devices, providing a significantly better networking experience for users.
*It requires 802.11ax-compatible devices to enjoy the benefits brought by 802.11ax WiFi standard."
Netgear Orbi RBK352 (AX1800) Dual-Band WiFi 6 Mesh System - 2 Pack,Router: 1 x 1G WAN and 3 x 1G LAN - Satellite: 2 x 1G LAN,273.41,"Orbi Dual-Band WiFi 6 Mesh System, 1.8Gbps, Router + 1 Satellite
Connect up to 25 devices across up to 2,500 sq. ft. and enjoy strong, consistent, and reliable WiFi. Experience cutting edge performance with WiFi 6 and speeds of up to 1.8Gbps for lag-free gaming and smooth streaming.
  Performance
Super-Fast WiFi
Up to 1.8Gbps combined WiFi speeds for high-definition gaming and streaming."
ASUS RT-AX52 (AX1800) Dual-Band WiFi 6 Extendable Router,1x Gigabit WAN Port - 4x Gigabit LAN Ports,129,"BSS Coloring Boosts Connection Efficiency
WiFi 6 includes a new feature called BSS Coloring that improves WiFi connection efficiency even in crowded environments. When two neighboring routers send traffic on the same channel, your router has to wait until the channel is free. With BSS Coloring, your WiFi 6 router identifies its data with a unique channel tag ('color') that's different from neighboring networks. Your WiFi 6 router can then ignore other-colored signals on the channel and send data immediately.* This greatly reduces router waiting times and boosts network efficiency.
The Latest WPA3 Network Security
The next generation of WiFi security, bringing new capabilities to enhance WiFi protections in personal networks. Building on the widespread adoption of WPA2 over more than a decade, WPA3 adds new features to simplify WiFi security, enable more robust authentication, and deliver increased cryptographic strength for highly sensitive data markets."
Ubiquiti UniFi UCG-Ultra Cloud Gateway Ultra,2.5GbE WAN Port x1 - 1GbE LAN x4 - 16GB On-board Storage,244.79,"Compact Cloud Gateway with 30+ UniFi device / 300+ client support, 1 Gbps IPS routing, and multi-WAN load balancing.
- Runs UniFi Network for full-stack network management
- Manages 30+ UniFi Network devices and 300+ clients
- 1 Gbps routing with IDS/IPS
- Multi-WAN load balancing
- 0.96"" LCM status display"
ASUS TUF-AX4200 (AX4200) Dual Band AX WiFi 6 Extendable Gaming Router,Includes 1x 2.5G WAN/LAN Port and 4x 1G LAN Ports,299,"TUF Gaming AX4200 Dual Band WiFi 6 Gaming Router with Mobile Game Mode, 3 steps port forwarding, 2.5Gbps port, AiMesh for mesh WiFi, AiProtection Pro network security
- Ultrafast WiFi 6 - Enjoy speeds up to 4200 Mbps and 4X network efficiency with OFDMA and 160 MHz channels.
- True Multi-Gigabit wired speeds - Aggregated 2 Gigabit LAN connections, wired 2.5Gbps port and WiFi 6.
- Easy Port Forwarding in 3 Steps - Open NAT makes port forwarding simple, eliminating frustrating and complicated manual configuration.
- ASUS AiMesh Support - Create a flexible, seamless whole-home mesh network with AiMesh-compatible routers.
- Tested Durability and Stable Operation - TUF Gaming AX4200 is built to be durable and undergoes verified testing to ensure reliable, stable operation."
TP-Link TL-MR6400 N300 WiFi 4 4G LTE Router,CAT4 - SIM Card Slot,148.99,"300Mbps Wireless N 4G LTE Router (TL-MR6400)
Enjoy Wi-Fi on 4G LTE with up to 300 Mbps Wireless speeds.
  No Configuration Needed Simply Plug and Play
With an integrated 4G LTE modem and a built-in SIM card slot, all you need to do is insert a SIM card and turn on the TL-MR6400. Enjoying fast, stable Wi-Fi on a 4G LTE network has never been easier."
Ubiquiti UniFi Express (UX) Compact UniFi Cloud Gateway,Built-in WiFi 6 AP,293.88,"Impressively compact UniFi Cloud Gateway and WiFi 6 access point that runs UniFi Network. Powers an entire network or simply meshes as an access point.
- Built-in WiFi 6 AP
- 140 m² (1,500 ft²) single-unit coverage
- 50+ connected WiFi devices*
- (1) GbE RJ45 WAN port
- (1) GbE RJ45 LAN port to extend network
- 0.96"" LCM status display
- Manages up to four additional UniFi Network devices when operated as a gateway
- Managed with UniFi Network 8.0.7 and later"
Ubiquiti UniFi UDM-PRO Dream Machine Pro 10G HyperFibre Router,2x 10G SFP+,915.06,"- All-in-one 1U rack appliance for small to medium sized businesses
- Combines new UniFi OS with 8-port switch and security gateway
- UniFi Protect video surveillance NVR with off-the-shelf 3.5"" HDD support
- 8-port Gigabit Switch with 1 Gbps RJ45 and 10G SFP+ LAN
 -Enterprise-class IPS/IDS, DPI, and Wi-Fi AI capabilities
- Powered by fast 1.7 GHz quad-core processor
Ubiquiti UDM-Pro 1U Rackmount 10Gbps UniFi Multi-Application System with 3.5"" HDD Expansion and 8 Port Switch. UniFi Dream Machine Pro (UDM-Pro) is an all-in-one enterprise network appliance. UDM-Pro integrates all current and upcoming UniFi controllers with a security gateway, 10G SFP+ WAN, 8-port Gbps switch and off-the-shelf 3.5"" HDD support."
ASUS ROG Rapture GT-BE98 (BE25000) Quad-Band WiFi 7 Extendable Gaming Router,2x 10G ports and 4x 2.5G WAN/LAN ports.,"1,799.00","( Includes BONUS Monster Hunter via redemption from ASUS [NZ Only] )
ROG Rapture GT-BE98 Pro
GT-BE98 Quad-band WiFi 7 (802.11be) Gaming Router, support new 320MHz bandwidth & 4096-QAM, dual 10G ports, backup WAN, Triple-level Game Acceleration, Mobile Game Mode, AURA RGB, AiMesh support, subscription-free network security and comprehensive VPN features.
- Beyond-fast WiFi 7 (802.11be) with new 320MHz channels in the 6 GHz band and 4096-QAM significantly increases network capacity and throughput, with speeds of up to 25 Gbps
- Multi-link Operation links to multiple bands at the same time to ensure stable internet connections and efficient data transfers
- Cutting-edge external dual-feeding antennas boost coverage by providing high efficiency and significantly enhanced signal strength
- Maximized wired connectivity and flexibility with dual 10G ports and quad 2.5G ports, paving the way for most bandwidth-intensive games
- Subscription-free network security with commercial-grade AiProtection Pro powered by Trend Micro™, plus a one-tap security scan and Safe Browsing
- Comprehensive VPN features including advanced site-to-site VPN and the Instant Guard mobile app for secure connection over public WiFi
- AiMesh extendable routers enable whole home seamless roaming with rich, advanced features"
TP-Link M7350 4G LTE Mobile WiFi Hotspot with SIM Card Slot,CAT4 - 2000mAh Battery - Supports up to 10 Devices Simultaneously,147.99,
TP-Link Deco BE65 (BE11000) Tri-Band WiFi 7 Whole Home Mesh System - 2 Pack,4x 2.5G RJ45,629.15,"Deco BE65
BE11000 Whole Home Mesh Wi-Fi 7 System
- 11 Gbps Tri-Band Wi-Fi - 5760 Mbps (6 GHz) + 4320 Mbps (5 GHz)[5] + 574 Mbps (2.4 GHz).[1]
- 2.5 Gbps Wired Connections - 4x 2.5 Gbps ports ensure max flexibility and boosted throughput.[4]
- Wireless and Wired Combined Backhaul - Connects a wireless and wired backhaul with each unit simultaneously to improve overall throughput and reduce latency.
- Multi-Link Operation (MLO) - Simultaneously send and receive data across different bands and channels to increase throughput, reduce latency, and improve reliability.[3]
- - Double the bandwidth and enables many more simultaneous transmissions at the fastest possible speeds.[3]
- - Minimizes congestion with greenfield spectrum, delivering robust high-speed connections.[3]
- - Provides comprehensive network protection, robust parental controls, and real-time IoT security.[5]
- - Backward compatible with all Wi-Fi generations and works with any internet service provider (ISP) and modem.[10]"
