Product Name,Specification,Price
"HP EliteBook 660 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y NBD Onsite Warranty - AX WiFi 6E + BT5.3 - FPR - IR Cam,"1,805.50"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,758.63"
"HP 255 G10 15.6"" FHD",AMD Ryzen 7 7730U - 32GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6 + BT5.3 - Webcam - 1yr PB warranty,"1,519.53"
"HP 255 G10 15.6"" FHD",AMD Ryzen 7 7730U - 16GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6 + BT5.3 - Webcam - 1yr PB warranty,"1,368.50"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,288.50"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5-125U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,605.40"
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - RTX A2000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"3,537.50"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 7 155H - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,999.85"
"Dell Inspiron 3000 Series 3520 Business Laptop 15.6"" FHD",Intel Core i5-1235U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"1,320.20"
"HP Elitebook 640 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - 3Y NBD Onsite Warranty,"1,817.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,916.67"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 500GB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,001.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,863.00"
"Lenovo ThinkPad X12 Detachable Business Laptop 12.3"" FHD Touch",Intel Core i5-1130G7 - 16GB RAM - 256GB SSD - AX WiFi 6 + BT5.1 - Front IR Cam / Rear Cam - Backlit Keyboard - with Pen - TB 4 / USB4 (PD & DP1.4) - Win 10 Pro - 3Y Premier Onsite Warranty,"2,841.18"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 32GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,943.50"
"Apple MacBook Air 15"" Laptop with M3 Chip - Midnight",16GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,645.00"
"HP EliteBook 640 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 7-155U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Onsite Warranty,"2,050.29"
"Dell Latitude 3000 Series 3440 Laptop 14"" FHD",Intel Core i5-1235U - 16GB RAM - 256GB SSD - Win 11 Pro - 1yr warranty - AX WiFi 6E + BT5.3 - Webcam,"1,396.43"
"HP EliteBook 840 G10 Business Laptop 14"" WUXGA",Intel Core i5-1335U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E vPro + BT5.3 - 3Y NBD Onsite Warranty,"1,986.37"
"Dell Inspiron 5000 Series 5440 Business Laptop 14"" FHD",Intel Core i5-1334U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"1,341.67"
Microsoft Surface Laptop Studio 2,Intel Core i7 13th Gen - 64GB RAM - 1TB SSD - NVIDIA GeForce RTX 4060 - Win 11 Home,"5,999.00"
"Apple MacBook Air 15"" Laptop with M2 Chip - Midnight",8GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,189.00"
"Dell Latitude 5000 Series 5550 Business Laptop 15.6"" FHD",Intel Core Ultra 7 165U - 32GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"2,622.00"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 5 125H - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,955.00"
"Dell Latitude 5000 Series 5540 Business Laptop 15.6"" FHD",Intel Core i5-1345U vPro - 16GB RAM - 512G SSD (256GB x2) - Win 11 Pro - AX WiFi 6E + BT5 - FHD Camera - Backlit Keyboard - 1Y Warranty,"1,568.19"
Microsoft Surface Laptop Studio 2,Intel Core i7 13th Gen - 16GB RAM - 512GB SSD - Intel Core Iris Xe - Win 11 Home,"3,795.00"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,352.90"
"HP ProBook 460 G11 LTE Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi6E + BT5.3 - Webcam - USB-C (with PD & DP1.4) - HDMI2.1,"1,794.00"
"Apple MacBook Air 15"" Laptop with M3 Chip - Midnight",16GB Unified Memory - 256GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,255.00"
"HP ProBook 445 G11 Business Laptop 14"" WUXGA Touch",AMD Ryzen 5 7535U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,609.00"
"HP EliteBook x360 830 G11 13.3"" FHD BV 400nits Touch Business Laptop",Intel Core U5-125U - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.3 - Wacom Pen - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,300.00"
"Dell Latitude 5000 Series 5540 Business Laptop 15.6"" FHD",Intel Core i5-1345U vPro - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5 - FHD Camera - Backlit Keyboard - 1Y Warranty,"1,437.50"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155H - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,909.00"
"Dell Inspiron 3000 Series 3520 Business Laptop 15.6"" FHD",Intel Core i5-1235U - 8GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"1,207.50"
Microsoft Surface Laptop Studio 2,Intel Core i7 13th Gen - 32GB RAM - 1TB SSD - NVIDIA GeForce RTX 4050 - Win 11 Home,"5,298.99"
"Lenovo ThinkPad X1 Carbon G11 14"" WUXGA Touch Laptop",Intel Core i7-1355U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Onsite Warranty,"3,396.92"
"Dell Latitude 5440 Business Laptop 14"" FHD",Intel i5-1345U - 16GB RAM - 256GB SSD - Win 11 Pro - IR Cam - 1yr warranty,"1,408.75"
"HP EliteBook 840 G11 Business Laptop 14"" FHD AG 300nits",Intel Core Ultra 7-155U - 32GB RAM - 1TB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,846.25"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5-125U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,721.55"
